PLAYER_NAME,SEASON,cluster,classification
Al Horford,2013-14,2,stretch forwards / big men
Al Jefferson,2013-14,2,stretch forwards / big men
Al-Farouq Aminu,2013-14,1,versatile forwards
Alec Burks,2013-14,4,floor generals
Amir Johnson,2013-14,5,traditional centers
Anderson Varejao,2013-14,5,traditional centers
Andre Drummond,2013-14,5,traditional centers
Andre Iguodala,2013-14,7,low-usage role players
Andrea Bargnani,2013-14,2,stretch forwards / big men
Andrew Bogut,2013-14,5,traditional centers
Anthony Davis,2013-14,2,stretch forwards / big men
Arron Afflalo,2013-14,6,sharpshooters
Avery Bradley,2013-14,6,sharpshooters
Ben McLemore,2013-14,6,sharpshooters
Blake Griffin,2013-14,2,stretch forwards / big men
Boris Diaw,2013-14,1,versatile forwards
Bradley Beal,2013-14,6,sharpshooters
Brandon Bass,2013-14,2,stretch forwards / big men
Brandon Jennings,2013-14,4,floor generals
Brandon Knight,2013-14,4,floor generals
Brian Roberts,2013-14,4,floor generals
Brook Lopez,2013-14,2,stretch forwards / big men
Carlos Boozer,2013-14,2,stretch forwards / big men
Carmelo Anthony,2013-14,3,ball-dominant scorers
Caron Butler,2013-14,6,sharpshooters
Chandler Parsons,2013-14,6,sharpshooters
Channing Frye,2013-14,7,low-usage role players
Chris Bosh,2013-14,2,stretch forwards / big men
Chris Paul,2013-14,3,ball-dominant scorers
Corey Brewer,2013-14,7,low-usage role players
Courtney Lee,2013-14,6,sharpshooters
D.J. Augustin,2013-14,4,floor generals
Damian Lillard,2013-14,3,ball-dominant scorers
Danny Green,2013-14,7,low-usage role players
Darren Collison,2013-14,4,floor generals
David Lee,2013-14,5,traditional centers
David West,2013-14,2,stretch forwards / big men
DeAndre Jordan,2013-14,5,traditional centers
DeMar DeRozan,2013-14,3,ball-dominant scorers
DeMarcus Cousins,2013-14,2,stretch forwards / big men
DeMarre Carroll,2013-14,7,low-usage role players
Deron Williams,2013-14,4,floor generals
Derrick Favors,2013-14,5,traditional centers
Derrick Williams,2013-14,1,versatile forwards
Dion Waiters,2013-14,4,floor generals
Dirk Nowitzki,2013-14,2,stretch forwards / big men
Dwight Howard,2013-14,5,traditional centers
Dwyane Wade,2013-14,3,ball-dominant scorers
Enes Kanter,2013-14,5,traditional centers
Eric Bledsoe,2013-14,3,ball-dominant scorers
Eric Gordon,2013-14,6,sharpshooters
Ersan Ilyasova,2013-14,2,stretch forwards / big men
Evan Turner,2013-14,1,versatile forwards
George Hill,2013-14,4,floor generals
Gerald Green,2013-14,6,sharpshooters
Gerald Henderson,2013-14,6,sharpshooters
Gerald Wallace,2013-14,7,low-usage role players
Giannis Antetokounmpo,2013-14,1,versatile forwards
Glen Davis,2013-14,2,stretch forwards / big men
