c1,c2,c3,c4,c5,c6,c7,c8,nrtg
3,0,0,0,1,0,0,1,13.491788
3,0,0,1,0,0,0,1,13.490556
3,0,0,0,0,1,0,1,13.015315
4,0,0,0,0,0,0,1,12.513253
3,1,0,0,0,0,0,1,12.365683
3,0,0,0,0,0,1,1,11.5779505
3,0,0,0,0,0,0,2,10.37338
2,2,1,0,0,0,0,0,10.3309145
3,2,0,0,0,0,0,0,10.203127
3,0,0,1,1,0,0,0,9.967339
3,0,0,1,0,1,0,0,9.807605
3,0,0,2,0,0,0,0,9.785064
3,0,0,0,1,1,0,0,9.460151
4,0,0,1,0,0,0,0,9.305544
2,0,0,2,1,0,0,0,9.185469
2,2,0,1,0,0,0,0,9.177316
2,2,0,0,1,0,0,0,8.986138
1,0,0,2,2,0,0,0,8.965693
4,0,0,0,1,0,0,0,8.958091
3,0,0,0,2,0,0,0,8.901556
4,0,0,0,0,1,0,0,8.481613
3,0,0,0,1,0,1,0,8.428211
3,0,0,1,0,0,1,0,8.370238
0,2,1,0,2,0,0,0,8.1026745
5,0,0,0,0,0,0,0,7.979551
3,1,0,0,1,0,0,0,7.9346943
1,0,0,2,1,0,1,0,7.900874
1,0,0,3,1,0,0,0,7.844629
1,0,0,2,0,0,2,0,7.8096704
1,2,0,0,2,0,0,0,7.795488
1,0,0,4,0,0,0,0,7.7326193
2,2,0,0,0,1,0,0,7.682501
2,0,0,1,1,1,0,0,7.674041
3,1,0,0,0,1,0,0,7.597411
3,1,0,1,0,0,0,0,7.574519
2,2,0,0,0,0,0,1,7.571717
3,0,0,0,0,1,1,0,7.546309
2,0,0,1,2,0,0,0,7.4696107
3,0,1,0,0,0,0,1,7.419343
1,0,1,2,1,0,0,0,7.39827
2,0,0,3,0,0,0,0,7.2963877
0,2,0,1,2,0,0,0,7.163333
1,0,0,1,2,1,0,0,7.124695
4,1,0,0,0,0,0,0,7.095351
4,0,0,0,0,0,1,0,7.0442495
2,0,0,0,2,1,0,0,7.0266256
1,2,2,0,0,0,0,0,6.9965596
1,0,0,2,1,1,0,0,6.989709
2,0,0,1,1,0,1,0,6.642106
1,0,0,1,2,0,1,0,6.6226354
0,0,0,1,0,2,0,2,6.6201324
2,0,0,0,1,1,1,0,6.483602
1,0,0,1,1,1,1,0,6.3894496
1,0,0,2,1,0,0,1,6.267442
0,0,0,1,1,2,0,1,6.2646675
2,0,0,2,0,1,0,0,6.172715
2,0,1,2,0,0,0,0,6.164494
3,1,0,0,0,0,1,0,6.160049
2,2,0,0,0,0,1,0,6.1592364
2,0,0,2,0,0,1,0,6.148579
0,1,0,1,0,2,0,1,6.1380534
1,2,1,1,0,0,0,0,6.0900846
2,0,0,0,2,0,1,0,5.994691
